epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,906.28,1.15215,2.3706,1.85363,0.63495,0.65091,0.64678,0.21724,1.90242,4.68437,2.8923,0.000659091,0.000659091,0.000659091
2,1739.86,0.94158,1.63779,1.63337,0.90117,0.8951,0.95961,0.60838,1.05989,2.67045,2.22245,0.000669508,0.000669508,0.000669508
